Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
-102,3,2947,5520,7883,-2230,-7835,-5560,2643,7992,-5092,2782,7371,-6200,-7850,6590,backwards
-102,3,2947,5520,7883,-2230,-7835,-5560,2643,7992,-5092,2782,7371,-6200,-7850,6590,backwards
11,-37,-1390,-5796,-7332,2195,-1463,-3770,-15,-923,6153,-2393,2683,-5213,3239,607,backwards
11,-37,-1390,-5796,-7332,2195,-1463,-3770,-15,-923,6153,-2393,2683,-5213,3239,607,backwards
-79,-70,6273,-6761,5586,-3891,4665,-2724,6031,-618,-3044,-3262,-8115,-3600,6430,3850,backwards
-79,-70,6273,-6761,5586,-3891,4665,-2724,6031,-618,-3044,-3262,-8115,-3600,6430,3850,backwards
28,-60,7909,3026,-5572,7121,3759,-7883,-5109,376,4350,-69,5615,-5892,-3866,1042,backwards
28,-60,7909,3026,-5572,7121,3759,-7883,-5109,376,4350,-69,5615,-5892,-3866,1042,backwards
91,-6,-184,-4358,2258,-4736,-1806,-1294,-5832,4644,499,-87,4978,-4531,-3964,-2501,backwards
91,-6,-184,-4358,2258,-4736,-1806,-1294,-5832,4644,499,-87,4978,-4531,-3964,-2501,backwards
-50,-65,2784,3432,8107,-4977,4645,-6256,4217,-7767,-6317,4473,7459,-874,-2484,-5082,backwards
-50,-65,2784,3432,8107,-4977,4645,-6256,4217,-7767,-6317,4473,7459,-874,-2484,-5082,backwards
-63,135,4,5182,-4344,-1001,3950,2335,7646,-7627,7943,-379,-653,-6392,-254,-7344,backwards
-83,30,-4499,7792,6036,4060,-3923,-6121,7040,4683,2292,5086,7185,895,-5415,7261,backwards
-83,30,-4499,7792,6036,4060,-3923,-6121,7040,4683,2292,5086,7185,895,-5415,7261,backwards
-92,145,6332,5354,-6318,-6059,-1233,2941,-4058,1446,5750,124,-2042,-3297,6021,2163,backwards
-92,145,6332,5354,-6318,-6059,-1233,2941,-4058,1446,5750,124,-2042,-3297,6021,2163,backwards
-79,17,-7730,-5280,3888,-4560,3437,7612,-6513,-4977,-8076,-50,7629,7103,4007,-4285,backwards
-79,17,-7730,-5280,3888,-4560,3437,7612,-6513,-4977,-8076,-50,7629,7103,4007,-4285,backwards
50,-1,-8174,82,7361,-1672,-3437,-2177,-2548,1801,7234,279,2079,3014,-3772,8187,backwards
50,-1,-8174,82,7361,-1672,-3437,-2177,-2548,1801,7234,279,2079,3014,-3772,8187,backwards
-54,93,-4915,7480,-7670,3244,1702,2519,6067,7582,2225,99,-8111,-4454,-560,-7404,backwards
-54,93,-4915,7480,-7670,3244,1702,2519,6067,7582,2225,99,-8111,-4454,-560,-7404,backwards
21,25,-577,1709,-3616,6138,4466,-7655,-2916,4116,-6600,-4254,6287,88,-850,4556,backwards
21,25,-577,1709,-3616,6138,4466,-7655,-2916,4116,-6600,-4254,6287,88,-850,4556,backwards
-48,-80,8112,-2584,2853,-3852,-4869,2566,7159,2099,3719,1232,5918,7803,-4538,-1654,backwards
