Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
137,95,7107,-5657,7330,-2106,2917,2839,-886,8156,-3218,2990,2959,5162,5214,4706,forward
137,95,7107,-5657,7330,-2106,2917,2839,-886,8156,-3218,2990,2959,5162,5214,4706,forward
140,55,-350,-3959,-5530,-508,2829,-7206,-4343,-1192,6254,8114,-7197,-1975,-1490,7715,forward
140,55,-350,-3959,-5530,-508,2829,-7206,-4343,-1192,6254,8114,-7197,-1975,-1490,7715,forward
-1,140,-6543,-354,1465,2222,-3583,-3506,5366,4017,-4354,1557,6646,3061,1106,-3497,forward
-1,140,-6543,-354,1465,2222,-3583,-3506,5366,4017,-4354,1557,6646,3061,1106,-3497,forward
86,91,5664,1537,-5702,-7682,1084,-7040,1003,-2681,5373,5718,5771,8162,-60,1831,forward
86,91,5664,1537,-5702,-7682,1084,-7040,1003,-2681,5373,5718,5771,8162,-60,1831,forward
-63,-21,1817,2822,7809,-5952,5760,-6768,-6371,483,-5101,-1621,-196,-7760,-4994,3732,forward
-63,-21,1817,2822,7809,-5952,5760,-6768,-6371,483,-5101,-1621,-196,-7760,-4994,3732,forward
68,-68,-1305,7835,-3587,-7367,-7069,2686,-4898,1194,-6168,7982,3183,1869,-2740,-4046,forward
68,-68,-1305,7835,-3587,-7367,-7069,2686,-4898,1194,-6168,7982,3183,1869,-2740,-4046,forward
-15,82,-3525,-1000,1545,-6844,4876,-3263,-7019,7486,-154,-3000,-2690,-6997,-3847,6585,forward
-15,82,-3525,-1000,1545,-6844,4876,-3263,-7019,7486,-154,-3000,-2690,-6997,-3847,6585,forward
75,-77,-1764,-4880,5615,8171,-3753,2541,2189,1944,638,-7608,-5722,-64,-7044,-5258,forward
134,-26,-7135,-6139,-2697,4136,-4476,3301,3385,8148,-2397,666,-5607,-1450,3758,-2836,forward
134,-26,-7135,-6139,-2697,4136,-4476,3301,3385,8148,-2397,666,-5607,-1450,3758,-2836,forward
29,-74,3450,-7547,-5689,-7089,-2134,-4975,4622,-4315,-3710,-124,1418,3558,5486,-4889,forward
29,-74,3450,-7547,-5689,-7089,-2134,-4975,4622,-4315,-3710,-124,1418,3558,5486,-4889,forward
51,105,5395,615,6409,5286,2328,-6960,-6179,4416,3821,-84,-5376,3643,-5547,6120,forward
51,105,5395,615,6409,5286,2328,-6960,-6179,4416,3821,-84,-5376,3643,-5547,6120,forward
-52,48,3903,-6520,2096,-6176,1509,-3133,-1740,4104,-6437,-8122,4204,-4909,1441,1928,forward
-52,48,3903,-6520,2096,-6176,1509,-3133,-1740,4104,-6437,-8122,4204,-4909,1441,1928,forward
108,-38,8008,870,-6187,-7183,7851,-2903,-3676,-2532,7597,-2785,382,4122,-5263,-4011,forward
108,-38,8008,870,-6187,-7183,7851,-2903,-3676,-2532,7597,-2785,382,4122,-5263,-4011,forward
-33,56,4776,-1346,-903,-6289,4569,-3239,2076,-2578,-1620,2643,9,-7930,-6149,923,forward
-33,56,4776,-1346,-903,-6289,4569,-3239,2076,-2578,-1620,2643,9,-7930,-6149,923,forward
64,-16,4268,-2775,-1355,-7297,-428,-7497,4175,-6855,2985,7134,7929,-6703,-6958,959,forward
