Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
113,110,3051,6042,3793,4490,-5825,6682,-7680,937,-7782,4986,-8126,71,-6201,-1727,forward
113,110,3051,6042,3793,4490,-5825,6682,-7680,937,-7782,4986,-8126,71,-6201,-1727,forward
79,122,-2434,369,-208,-4571,-6873,3434,2705,3292,-2359,-2127,-215,1364,6806,1941,forward
79,122,-2434,369,-208,-4571,-6873,3434,2705,3292,-2359,-2127,-215,1364,6806,1941,forward
-7,-15,-7884,-7374,-1777,693,1806,6963,-673,-2244,5383,-2805,-4003,6392,-3228,-3906,forward
-7,-15,-7884,-7374,-1777,693,1806,6963,-673,-2244,5383,-2805,-4003,6392,-3228,-3906,forward
42,128,1487,-472,953,-5442,6266,-780,7669,-4424,-5243,7437,4313,606,1542,-1991,forward
42,128,1487,-472,953,-5442,6266,-780,7669,-4424,-5243,7437,4313,606,1542,-1991,forward
61,78,6483,-1386,467,-2452,2775,6245,-7950,-847,4707,-5918,4315,4702,-4830,5536,forward
61,78,6483,-1386,467,-2452,2775,6245,-7950,-847,4707,-5918,4315,4702,-4830,5536,forward
1,24,-8149,4892,7634,-1655,2678,-7872,2050,-6621,8009,5496,-6637,-7009,7750,-7164,forward
15,-79,6561,5256,-6443,-2676,-4854,-498,1083,-6801,-3371,2033,-4212,4719,-2299,4841,forward
15,-79,6561,5256,-6443,-2676,-4854,-498,1083,-6801,-3371,2033,-4212,4719,-2299,4841,forward
92,98,3831,-6159,6989,3978,4675,7119,-4998,2905,-5243,-6038,-5731,-673,-858,7537,forward
92,98,3831,-6159,6989,3978,4675,7119,-4998,2905,-5243,-6038,-5731,-673,-858,7537,forward
86,4,-5304,5353,-4588,6284,2719,7317,-3617,-6518,-470,-3063,7068,544,858,-7110,forward
86,4,-5304,5353,-4588,6284,2719,7317,-3617,-6518,-470,-3063,7068,544,858,-7110,forward
83,22,2024,-4614,1428,4621,133,4735,-3020,6656,-2368,-13,-4764,-3090,-2547,5717,forward
83,22,2024,-4614,1428,4621,133,4735,-3020,6656,-2368,-13,-4764,-3090,-2547,5717,forward
28,99,-5508,-3894,-7956,-7133,5035,-5824,-2079,-2139,6249,-5618,7681,-7548,-1900,-6581,forward
28,99,-5508,-3894,-7956,-7133,5035,-5824,-2079,-2139,6249,-5618,7681,-7548,-1900,-6581,forward
-57,-31,-3610,-4411,-6809,-1843,2996,1479,-3666,269,3932,548,-6563,-3916,7625,-4867,forward
-57,-31,-3610,-4411,-6809,-1843,2996,1479,-3666,269,3932,548,-6563,-3916,7625,-4867,forward
138,-24,-3476,2808,546,-350,-8139,71,-102,-4083,2805,1781,5430,7748,4788,-7330,forward
138,-24,-3476,2808,546,-350,-8139,71,-102,-4083,2805,1781,5430,7748,4788,-7330,forward
146,60,-8078,-7024,6696,7449,5724,4326,-4254,-5081,-3943,1666,3067,7308,-4471,-1955,forward
