Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
120,-41,-2528,-1778,-6884,-6061,8126,-3360,-1062,7828,3158,-6201,-7765,-1148,7147,-6766,forward
120,-41,-2528,-1778,-6884,-6061,8126,-3360,-1062,7828,3158,-6201,-7765,-1148,7147,-6766,forward
-80,-43,-3929,-6855,6240,-6115,-7126,-1119,-2216,-5817,7133,1296,-7149,7623,-6320,1692,forward
-80,-43,-3929,-6855,6240,-6115,-7126,-1119,-2216,-5817,7133,1296,-7149,7623,-6320,1692,forward
-76,-47,2405,5308,-920,4591,2298,2478,5786,5876,5754,5303,2696,6624,-6571,-2968,forward
-76,-47,2405,5308,-920,4591,2298,2478,5786,5876,5754,5303,2696,6624,-6571,-2968,forward
-72,27,6792,-6072,6858,-671,-5011,395,1093,-6866,-7568,-2633,-6634,-5874,3548,-3841,forward
-72,27,6792,-6072,6858,-671,-5011,395,1093,-6866,-7568,-2633,-6634,-5874,3548,-3841,forward
-78,7,1305,-6914,-5691,6669,-8060,-3129,-6102,-5792,3681,6671,769,-335,-1932,6078,forward
-78,7,1305,-6914,-5691,6669,-8060,-3129,-6102,-5792,3681,6671,769,-335,-1932,6078,forward
-96,85,4588,6227,2093,-4156,7014,5332,-2980,-4927,-1060,-6711,2641,-1105,3418,7161,forward
-58,143,2269,6242,536,-8016,3674,-1459,-3585,-1755,190,-5032,-1616,3693,3542,5644,forward
-58,143,2269,6242,536,-8016,3674,-1459,-3585,-1755,190,-5032,-1616,3693,3542,5644,forward
-14,-102,3001,-6200,2836,4265,432,4153,-7759,-4439,4729,-2703,-1557,1438,-396,-412,forward
-14,-102,3001,-6200,2836,4265,432,4153,-7759,-4439,4729,-2703,-1557,1438,-396,-412,forward
-92,105,5138,-2981,-6950,-3303,6348,-548,-7078,2589,2997,5741,-192,-559,3472,5394,forward
-92,105,5138,-2981,-6950,-3303,6348,-548,-7078,2589,2997,5741,-192,-559,3472,5394,forward
67,89,-6058,-7293,-5369,-5889,-977,5923,7549,-4072,6280,1706,2437,4454,-7513,-1378,forward
67,89,-6058,-7293,-5369,-5889,-977,5923,7549,-4072,6280,1706,2437,4454,-7513,-1378,forward
22,74,1880,-4603,1387,-7219,-3824,-2985,4137,960,6738,7350,-1130,-4830,-5069,-7259,forward
22,74,1880,-4603,1387,-7219,-3824,-2985,4137,960,6738,7350,-1130,-4830,-5069,-7259,forward
121,-43,-813,661,-1248,5057,3696,389,-1961,-8087,-2438,7000,-5215,-4765,4025,-3879,forward
121,-43,-813,661,-1248,5057,3696,389,-1961,-8087,-2438,7000,-5215,-4765,4025,-3879,forward
81,110,901,-4148,-5090,-629,6282,-7959,5000,4423,2815,-6004,-1421,-5809,-769,3747,forward
