Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
136,88,2231,1466,2630,-6097,5895,-615,5898,-2231,-6222,-3510,2916,-2201,1445,4032,backwards
136,88,2231,1466,2630,-6097,5895,-615,5898,-2231,-6222,-3510,2916,-2201,1445,4032,backwards
-21,82,2413,3678,5464,3283,3642,2695,-757,-1352,-7029,-3646,5001,3661,-3716,7580,backwards
-21,82,2413,3678,5464,3283,3642,2695,-757,-1352,-7029,-3646,5001,3661,-3716,7580,backwards
-38,-92,5099,-2937,956,4712,3579,-5999,-4900,-4103,692,-5841,-6780,-4676,-2029,-7065,backwards
-38,-92,5099,-2937,956,4712,3579,-5999,-4900,-4103,692,-5841,-6780,-4676,-2029,-7065,backwards
126,-2,3558,-5796,-261,-4224,7935,-726,-4323,-6770,7627,3829,-3964,-348,4576,-8183,backwards
126,-2,3558,-5796,-261,-4224,7935,-726,-4323,-6770,7627,3829,-3964,-348,4576,-8183,backwards
137,-84,291,4968,947,-7086,2251,-818,2119,-1535,3328,-5144,-1728,-3143,-5123,3064,backwards
137,-84,291,4968,947,-7086,2251,-818,2119,-1535,3328,-5144,-1728,-3143,-5123,3064,backwards
1,112,4455,-4379,2993,-6038,7262,-1854,6879,-384,-4908,648,-7961,-256,5972,3938,backwards
-11,82,5872,-4627,-7898,-1355,-6630,6237,746,-1516,-8,-515,-5435,5101,-3681,6985,backwards
-11,82,5872,-4627,-7898,-1355,-6630,6237,746,-1516,-8,-515,-5435,5101,-3681,6985,backwards
101,139,-414,1385,-4335,-304,-940,-3277,-3320,-809,2024,-2090,-4987,5050,-254,-1929,backwards
101,139,-414,1385,-4335,-304,-940,-3277,-3320,-809,2024,-2090,-4987,5050,-254,-1929,backwards
118,71,-4476,-5441,3053,2129,4850,-7817,-2217,-1869,3955,7693,804,5221,1523,-7309,backwards
118,71,-4476,-5441,3053,2129,4850,-7817,-2217,-1869,3955,7693,804,5221,1523,-7309,backwards
-83,92,5961,-66,7404,-6643,6029,83,-5276,3652,-6976,-5988,-3198,-984,-6337,-2448,backwards
-83,92,5961,-66,7404,-6643,6029,83,-5276,3652,-6976,-5988,-3198,-984,-6337,-2448,backwards
-89,-15,7181,-7603,6070,7866,2375,892,1658,331,5753,5335,-826,4280,5724,2048,backwards
