Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
-39,138,6141,-2586,-111,-3397,-1484,1972,-182,-2492,-4231,7456,-1521,8161,-7122,-5615,backwards
-39,138,6141,-2586,-111,-3397,-1484,1972,-182,-2492,-4231,7456,-1521,8161,-7122,-5615,backwards
-32,17,3814,221,505,-7879,7993,-5966,-4912,-3072,-6158,-7003,-2766,3954,-6557,2689,backwards
-32,17,3814,221,505,-7879,7993,-5966,-4912,-3072,-6158,-7003,-2766,3954,-6557,2689,backwards
-89,10,-6727,-5613,3247,6754,-746,1846,5780,-1065,732,6022,-1135,1978,-522,-4833,backwards
-89,10,-6727,-5613,3247,6754,-746,1846,5780,-1065,732,6022,-1135,1978,-522,-4833,backwards
42,131,5297,-5502,638,203,1750,-2913,-8121,-8034,6636,-3343,-1216,1024,5093,-34,backwards
42,131,5297,-5502,638,203,1750,-2913,-8121,-8034,6636,-3343,-1216,1024,5093,-34,backwards
-77,129,4447,-2075,-8178,-4774,-1726,1275,-2076,-236,-3110,-4004,5645,4294,6524,-2328,backwards
-77,129,4447,-2075,-8178,-4774,-1726,1275,-2076,-236,-3110,-4004,5645,4294,6524,-2328,backwards
150,-101,-4208,1264,7316,4373,-823,2995,1218,2992,5100,-5636,-5502,-3858,-175,-7795,backwards
141,143,7009,-77,-1760,-7188,-8014,-3075,7023,2763,-7939,6219,-52,2008,-3775,1298,backwards
141,143,7009,-77,-1760,-7188,-8014,-3075,7023,2763,-7939,6219,-52,2008,-3775,1298,backwards
106,7,-3439,1820,1669,-6562,4145,5295,-5667,7705,-7890,3029,-5947,-2078,-1860,5671,backwards
106,7,-3439,1820,1669,-6562,4145,5295,-5667,7705,-7890,3029,-5947,-2078,-1860,5671,backwards
-36,10,6979,-5684,-4120,1745,7127,6926,-3689,-5955,-4682,-1653,1513,-2660,-7383,-2375,backwards
-36,10,6979,-5684,-4120,1745,7127,6926,-3689,-5955,-4682,-1653,1513,-2660,-7383,-2375,backwards
105,-73,-3278,-3807,-8094,-839,-4737,-3966,-5041,-122,2805,-5518,1273,6378,-7546,2667,backwards
105,-73,-3278,-3807,-8094,-839,-4737,-3966,-5041,-122,2805,-5518,1273,6378,-7546,2667,backwards
62,-99,8100,5315,3419,3082,6320,1403,-5802,-166,-7686,-5362,-5161,-2892,-4908,728,backwards
62,-99,8100,5315,3419,3082,6320,1403,-5802,-166,-7686,-5362,-5161,-2892,-4908,728,backwards
141,25,2277,8191,-6552,-4216,-5730,-1545,7752,-5773,-2822,2298,7949,3281,-2056,5786,backwards
