Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
63,115,-6537,2362,666,1542,3045,8036,-7529,-7829,7745,4126,562,-8187,-5895,-2680,forward
63,115,-6537,2362,666,1542,3045,8036,-7529,-7829,7745,4126,562,-8187,-5895,-2680,forward
-53,-90,-1267,-3987,-6615,-2710,8057,6068,45,-3158,4038,2366,-5739,3787,1354,63,forward
-53,-90,-1267,-3987,-6615,-2710,8057,6068,45,-3158,4038,2366,-5739,3787,1354,63,forward
72,15,-1061,-5536,-5169,-478,-7485,-7790,-5667,6246,-111,7511,2753,842,-430,47,forward
72,15,-1061,-5536,-5169,-478,-7485,-7790,-5667,6246,-111,7511,2753,842,-430,47,forward
67,121,-731,2367,5995,7879,3575,-4362,1215,-7461,6212,-3370,709,-1411,-4849,2266,forward
67,121,-731,2367,5995,7879,3575,-4362,1215,-7461,6212,-3370,709,-1411,-4849,2266,forward
18,21,-3996,243,4383,906,-5811,5331,-2703,-3795,4658,1169,-3028,-6064,-4371,397,forward
18,21,-3996,243,4383,906,-5811,5331,-2703,-3795,4658,1169,-3028,-6064,-4371,397,forward
16,-7,-4616,-3876,3181,-4650,3218,-7522,2876,-251,-6867,7008,8105,-6969,-434,2746,forward
16,-7,-4616,-3876,3181,-4650,3218,-7522,2876,-251,-6867,7008,8105,-6969,-434,2746,forward
-100,-51,4801,-7895,-6679,-7455,6927,5355,-5301,7471,-4878,4374,1042,-624,4779,2701,forward
26,-80,3071,2243,3228,6914,-6681,-4309,-1101,-411,-7988,6059,5108,-175,3736,-7247,forward
26,-80,3071,2243,3228,6914,-6681,-4309,-1101,-411,-7988,6059,5108,-175,3736,-7247,forward
-94,-61,5574,1205,-1290,-6547,-4310,-919,-2016,-5767,-5211,-6440,1920,7811,5095,2713,forward
-94,-61,5574,1205,-1290,-6547,-4310,-919,-2016,-5767,-5211,-6440,1920,7811,5095,2713,forward
-83,50,-4914,-1352,6937,4921,-2127,1037,-1712,-3975,7789,439,-6516,1558,-7572,6101,forward
-83,50,-4914,-1352,6937,4921,-2127,1037,-1712,-3975,7789,439,-6516,1558,-7572,6101,forward
95,99,5653,-7363,-7071,-5019,7337,-7770,-4119,-4194,-8187,-4367,-7379,-1671,-1630,-1879,forward
95,99,5653,-7363,-7071,-5019,7337,-7770,-4119,-4194,-8187,-4367,-7379,-1671,-1630,-1879,forward
19,56,-4711,5071,1018,-4280,8093,6861,-463,-3442,3433,4152,1223,-505,-5725,7795,forward
