Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
136,-32,-1110,-5820,596,-3764,-3760,-5553,1958,7316,-1169,4499,-6556,-1503,-4533,7527,backwards
136,-32,-1110,-5820,596,-3764,-3760,-5553,1958,7316,-1169,4499,-6556,-1503,-4533,7527,backwards
-1,-39,-3645,-47,6222,2354,7015,-4053,-2150,1903,7717,-3288,-6920,-1413,-7559,-6896,backwards
-1,-39,-3645,-47,6222,2354,7015,-4053,-2150,1903,7717,-3288,-6920,-1413,-7559,-6896,backwards
-78,23,4077,-4921,5069,-904,-1471,-6105,-1397,-5830,2715,1689,-6813,2000,-7455,-5584,backwards
-78,23,4077,-4921,5069,-904,-1471,-6105,-1397,-5830,2715,1689,-6813,2000,-7455,-5584,backwards
-72,125,7225,-5616,-5892,8188,3127,-4176,-6126,4801,7102,453,5128,-6346,-6617,3665,backwards
-72,125,7225,-5616,-5892,8188,3127,-4176,-6126,4801,7102,453,5128,-6346,-6617,3665,backwards
70,3,2872,-6688,3859,7202,5532,-3023,3973,6504,-8075,1533,4541,892,-7878,-3971,backwards
97,15,1042,-5081,7678,-3210,5673,-1113,-5872,-4955,-68,2751,-7546,-1406,-47,3792,backwards
97,15,1042,-5081,7678,-3210,5673,-1113,-5872,-4955,-68,2751,-7546,-1406,-47,3792,backwards
102,147,2852,1015,1195,-6624,-430,5750,-8160,4962,955,5850,4075,-6847,7853,-5667,backwards
102,147,2852,1015,1195,-6624,-430,5750,-8160,4962,955,5850,4075,-6847,7853,-5667,backwards
-95,5,-6317,-685,-4576,1775,6772,2794,4334,-5893,-91,4289,-2573,-1244,6104,-3998,backwards
-95,5,-6317,-685,-4576,1775,6772,2794,4334,-5893,-91,4289,-2573,-1244,6104,-3998,backwards
-9,18,8177,4429,-4469,1883,2769,-514,1412,-3364,239,5384,4892,-6972,7787,2893,backwards
-9,18,8177,4429,-4469,1883,2769,-514,1412,-3364,239,5384,4892,-6972,7787,2893,backwards
20,57,-7010,5777,4820,-6986,797,-827,5803,-5663,5809,3380,-1659,-3298,-5339,6359,backwards
20,57,-7010,5777,4820,-6986,797,-827,5803,-5663,5809,3380,-1659,-3298,-5339,6359,backwards
110,-89,-433,-3074,-4027,-5215,2511,1356,7079,6749,3359,4585,-6363,4338,3420,-944,backwards
110,-89,-433,-3074,-4027,-5215,2511,1356,7079,6749,3359,4585,-6363,4338,3420,-944,backwards
42,139,1444,-7680,-3226,-2530,-7782,-2190,1742,-7560,-386,6588,-7269,-5574,96,7941,backwards
