Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
-4,-2,7807,515,3315,-6289,5905,7163,5785,-1041,-6569,4906,6211,1773,-1887,-2745,backwards
-4,-2,7807,515,3315,-6289,5905,7163,5785,-1041,-6569,4906,6211,1773,-1887,-2745,backwards
-63,132,6781,7902,6995,-7823,-5348,3293,6857,4666,-4070,-7324,-7933,6824,-3565,6451,backwards
-63,132,6781,7902,6995,-7823,-5348,3293,6857,4666,-4070,-7324,-7933,6824,-3565,6451,backwards
102,102,-4833,-1088,786,-306,-6465,3045,-734,8021,5386,-3919,4245,6688,5313,3253,backwards
102,102,-4833,-1088,786,-306,-6465,3045,-734,8021,5386,-3919,4245,6688,5313,3253,backwards
-4,128,-4924,-5967,-5720,5800,566,-2407,4123,2494,-3329,3909,-4320,-867,-1022,-5715,backwards
-4,128,-4924,-5967,-5720,5800,566,-2407,4123,2494,-3329,3909,-4320,-867,-1022,-5715,backwards
90,66,3817,1574,8185,3304,-4633,-4671,-911,-342,4415,-975,3514,-6775,1801,1350,backwards
90,66,3817,1574,8185,3304,-4633,-4671,-911,-342,4415,-975,3514,-6775,1801,1350,backwards
48,-102,-3719,-5809,5293,6852,2278,2453,-4407,-2938,-3848,6606,732,-4737,-7956,-2608,backwards
48,-102,-3719,-5809,5293,6852,2278,2453,-4407,-2938,-3848,6606,732,-4737,-7956,-2608,backwards
4,77,-306,-1523,-5390,-4365,8008,-1353,6840,-7809,-5203,2751,-1022,-5893,1165,5972,backwards
-18,20,-652,-6150,3867,5712,-2760,-6123,-5319,-5615,-6684,6760,-6871,-624,-1990,-4473,backwards
-18,20,-652,-6150,3867,5712,-2760,-6123,-5319,-5615,-6684,6760,-6871,-624,-1990,-4473,backwards
71,-41,4186,-6370,4406,-3233,5743,-6370,5217,3461,7800,-6152,-1768,-1358,-982,-6400,backwards
71,-41,4186,-6370,4406,-3233,5743,-6370,5217,3461,7800,-6152,-1768,-1358,-982,-6400,backwards
95,-47,8081,-1445,2077,3179,3568,3807,-1150,1637,4775,-6733,-2693,7076,3748,1380,backwards
95,-47,8081,-1445,2077,3179,3568,3807,-1150,1637,4775,-6733,-2693,7076,3748,1380,backwards
116,-96,7937,-3429,-659,-2470,1936,-7457,4148,-3879,7017,2799,-2519,7771,-2128,7102,backwards
116,-96,7937,-3429,-659,-2470,1936,-7457,4148,-3879,7017,2799,-2519,7771,-2128,7102,backwards
70,-64,-2880,-5198,6591,-3196,1635,-1070,-3762,-1846,7930,-694,5518,-2906,1530,-4156,backwards
70,-64,-2880,-5198,6591,-3196,1635,-1070,-3762,-1846,7930,-694,5518,-2906,1530,-4156,backwards
55,-12,889,-136,3275,891,6866,-2651,3535,-4326,6093,-2112,-4627,-3929,-4877,-3575,backwards
