Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
138,-35,5986,902,-1229,6685,1610,3478,1453,2194,-4203,-7466,-1772,4865,5207,-7755,forward
138,-35,5986,902,-1229,6685,1610,3478,1453,2194,-4203,-7466,-1772,4865,5207,-7755,forward
-16,29,5142,-5078,5308,7761,-2824,-3856,1578,-1298,2642,-5241,-3352,695,1360,6841,forward
-16,29,5142,-5078,5308,7761,-2824,-3856,1578,-1298,2642,-5241,-3352,695,1360,6841,forward
126,98,4177,4839,-4045,-3858,-1757,-1426,-3782,-6398,6396,916,-7072,-6965,4612,2420,forward
126,98,4177,4839,-4045,-3858,-1757,-1426,-3782,-6398,6396,916,-7072,-6965,4612,2420,forward
67,141,3506,-3892,-5587,5069,6629,6609,3029,4767,-7221,-5501,6076,928,2299,-7820,forward
67,141,3506,-3892,-5587,5069,6629,6609,3029,4767,-7221,-5501,6076,928,2299,-7820,forward
-74,68,-7653,-6555,-2626,-6651,-4040,-5341,-4371,-848,5200,-2735,-7025,2579,4964,-5525,forward
-74,68,-7653,-6555,-2626,-6651,-4040,-5341,-4371,-848,5200,-2735,-7025,2579,4964,-5525,forward
123,-57,1524,7391,6181,2359,2157,1614,-6655,-5597,4427,-5567,1725,3669,-7821,-4945,forward
123,-57,1524,7391,6181,2359,2157,1614,-6655,-5597,4427,-5567,1725,3669,-7821,-4945,forward
-39,81,2848,-374,-3399,3501,5338,4906,-6289,2172,2430,-1437,-4434,-365,395,7666,forward
131,-96,7116,-3967,-3570,5625,2597,-447,5521,-5179,966,611,-3597,6915,-2578,-1336,forward
131,-96,7116,-3967,-3570,5625,2597,-447,5521,-5179,966,611,-3597,6915,-2578,-1336,forward
-83,93,4665,-1976,-3501,-3396,-3463,3302,-132,1415,-6607,141,971,-7758,6090,4333,forward
-83,93,4665,-1976,-3501,-3396,-3463,3302,-132,1415,-6607,141,971,-7758,6090,4333,forward
-66,40,-4000,3043,4237,6247,-2810,-1954,7732,-3469,-5523,554,-8132,7338,2205,-3309,forward
-66,40,-4000,3043,4237,6247,-2810,-1954,7732,-3469,-5523,554,-8132,7338,2205,-3309,forward
73,-20,4272,7606,-5215,5716,5322,3923,-6232,-4517,211,-1968,783,5777,-1191,-2063,forward
73,-20,4272,7606,-5215,5716,5322,3923,-6232,-4517,211,-1968,783,5777,-1191,-2063,forward
39,-18,-3287,6732,135,5682,6859,-1255,3215,-1443,-928,1828,2955,-2333,-5893,-5814,forward
39,-18,-3287,6732,135,5682,6859,-1255,3215,-1443,-928,1828,2955,-2333,-5893,-5814,forward
121,-81,5820,-7664,-4030,105,5497,-4382,-3288,2704,-4079,5078,7924,-8118,615,-943,forward
121,-81,5820,-7664,-4030,105,5497,-4382,-3288,2704,-4079,5078,7924,-8118,615,-943,forward
93,-37,5974,1901,1999,-430,-1085,-7117,-4288,5769,-7982,6923,5091,-1443,-3722,-3152,forward
