Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
19,-22,-2660,-3383,7408,4800,-3287,-2834,6607,12,319,-2525,-938,5477,159,2384,backwards
19,-22,-2660,-3383,7408,4800,-3287,-2834,6607,12,319,-2525,-938,5477,159,2384,backwards
5,-45,-1678,7785,-7322,-7081,-3630,-24,6011,1431,-1454,-7613,6433,-3767,-5651,-6605,backwards
5,-45,-1678,7785,-7322,-7081,-3630,-24,6011,1431,-1454,-7613,6433,-3767,-5651,-6605,backwards
-102,-47,6662,-5865,-397,7261,-815,-7866,-1275,8048,-2225,-1613,-4985,-3714,1711,1351,backwards
-102,-47,6662,-5865,-397,7261,-815,-7866,-1275,8048,-2225,-1613,-4985,-3714,1711,1351,backwards
56,117,-284,-5118,8139,-7099,-6588,-562,1691,2118,-7656,-55,5460,-2693,-5078,7575,backwards
56,117,-284,-5118,8139,-7099,-6588,-562,1691,2118,-7656,-55,5460,-2693,-5078,7575,backwards
51,-10,334,3048,7786,2710,-814,-7654,2282,5763,-6665,-3667,-8144,-5120,-686,-3067,backwards
51,-10,334,3048,7786,2710,-814,-7654,2282,5763,-6665,-3667,-8144,-5120,-686,-3067,backwards
48,-54,-1540,-4918,-4056,4650,3454,-4629,-618,7417,-3566,2849,3604,823,-5417,-1360,backwards
-10,127,-7734,-2109,-3899,-3786,-6195,-6546,-471,-4650,459,-8047,-809,-758,4204,-4299,backwards
-10,127,-7734,-2109,-3899,-3786,-6195,-6546,-471,-4650,459,-8047,-809,-758,4204,-4299,backwards
59,-46,-7905,6179,-6094,-6403,-911,3322,1203,4056,-3916,-8014,-3336,3245,-4928,-142,backwards
59,-46,-7905,6179,-6094,-6403,-911,3322,1203,4056,-3916,-8014,-3336,3245,-4928,-142,backwards
90,-103,-1161,4861,-4632,3355,-4459,6064,242,6291,193,-4040,-4737,5109,7886,-8045,backwards
90,-103,-1161,4861,-4632,3355,-4459,6064,242,6291,193,-4040,-4737,5109,7886,-8045,backwards
-12,87,862,-8109,7070,8007,-6333,7002,7334,1417,-2518,3310,-4332,-5923,6317,7582,backwards
-12,87,862,-8109,7070,8007,-6333,7002,7334,1417,-2518,3310,-4332,-5923,6317,7582,backwards
43,-62,5177,-1328,890,-6362,-3299,6272,5563,-75,221,1289,-2016,-6672,-1522,461,backwards
43,-62,5177,-1328,890,-6362,-3299,6272,5563,-75,221,1289,-2016,-6672,-1522,461,backwards
66,-84,5728,1331,7881,-6455,122,-2818,4704,1267,7858,-2388,4707,4353,6100,393,backwards
