Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
47,40,-627,-436,-6166,2436,4825,-467,-1258,-2228,-1888,4020,6093,-6434,4404,3652,backwards
47,40,-627,-436,-6166,2436,4825,-467,-1258,-2228,-1888,4020,6093,-6434,4404,3652,backwards
32,-8,2003,-6866,6557,-7295,5487,-1391,5256,3095,-2361,552,331,1227,4411,7094,backwards
32,-8,2003,-6866,6557,-7295,5487,-1391,5256,3095,-2361,552,331,1227,4411,7094,backwards
-9,13,-5602,-3732,-2984,-2093,-5836,2891,5524,4101,3566,-2006,-1613,-552,-7418,485,backwards
-9,13,-5602,-3732,-2984,-2093,-5836,2891,5524,4101,3566,-2006,-1613,-552,-7418,485,backwards
26,-3,6733,7660,6265,-7078,4686,-8092,-3836,193,353,7131,1572,-3617,975,-6657,backwards
26,-3,6733,7660,6265,-7078,4686,-8092,-3836,193,353,7131,1572,-3617,975,-6657,backwards
117,84,4964,-2209,-5323,-7927,-5451,2615,-4633,1787,1809,-1954,-3981,5246,-2493,5902,backwards
117,84,4964,-2209,-5323,-7927,-5451,2615,-4633,1787,1809,-1954,-3981,5246,-2493,5902,backwards
27,-16,-4031,-3151,-5149,-7050,-3066,737,1488,-5173,-7579,7523,-4653,-7093,2939,4670,backwards
44,-82,-1352,1816,3846,399,-2162,-3387,1437,1407,3966,-2886,-188,6810,-3070,2952,backwards
44,-82,-1352,1816,3846,399,-2162,-3387,1437,1407,3966,-2886,-188,6810,-3070,2952,backwards
64,140,4310,-1504,2188,-7592,-4659,-1904,-6794,7938,-8166,-3706,7609,2021,931,7527,backwards
64,140,4310,-1504,2188,-7592,-4659,-1904,-6794,7938,-8166,-3706,7609,2021,931,7527,backwards
-101,-58,-8174,-4839,-186,-686,-8030,7207,-5918,7392,3720,4597,682,2206,-5721,-210,backwards
-101,-58,-8174,-4839,-186,-686,-8030,7207,-5918,7392,3720,4597,682,2206,-5721,-210,backwards
-76,-86,-7801,-1178,-3096,2567,5856,92,-2008,-6651,4820,-7647,-4923,1873,169,2064,backwards
-76,-86,-7801,-1178,-3096,2567,5856,92,-2008,-6651,4820,-7647,-4923,1873,169,2064,backwards
-10,121,350,-1077,1307,-117,-3328,-2100,6,-2719,-3883,1667,3647,-3218,2005,-6022,backwards
-10,121,350,-1077,1307,-117,-3328,-2100,6,-2719,-3883,1667,3647,-3218,2005,-6022,backwards
28,-103,7729,-2802,-4528,2470,-510,-2154,-321,-3384,-580,372,2239,-969,-7349,-4309,backwards
