Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
25,95,-2064,-7626,4028,-1694,-2050,5467,8143,-1608,-7005,7070,2751,-6322,-3591,-1553,backwards
25,95,-2064,-7626,4028,-1694,-2050,5467,8143,-1608,-7005,7070,2751,-6322,-3591,-1553,backwards
135,-88,-4362,-2629,-360,7798,-2657,6425,-2494,2031,-5148,-6312,158,-4523,5306,4274,backwards
135,-88,-4362,-2629,-360,7798,-2657,6425,-2494,2031,-5148,-6312,158,-4523,5306,4274,backwards
23,134,-4427,620,-1122,6382,-7203,1346,-6966,5535,-1837,2573,3444,-6661,6973,-382,backwards
23,134,-4427,620,-1122,6382,-7203,1346,-6966,5535,-1837,2573,3444,-6661,6973,-382,backwards
6,-55,6437,-5452,3208,-2442,-531,-6993,5109,5358,6416,-2720,2112,1315,-3945,-1536,backwards
6,-55,6437,-5452,3208,-2442,-531,-6993,5109,5358,6416,-2720,2112,1315,-3945,-1536,backwards
143,-27,-6956,-4568,-4449,-8037,7628,-256,2652,-2676,-6890,1406,1672,-6869,-1779,4562,backwards
143,-27,-6956,-4568,-4449,-8037,7628,-256,2652,-2676,-6890,1406,1672,-6869,-1779,4562,backwards
137,-89,3122,4327,-8052,5261,-1526,-1148,7841,3515,-7264,4053,7913,4241,-2823,-634,backwards
116,-12,-5537,-809,-4449,5625,2842,4081,-8093,2976,-5015,1229,3422,6374,-4445,-7635,backwards
116,-12,-5537,-809,-4449,5625,2842,4081,-8093,2976,-5015,1229,3422,6374,-4445,-7635,backwards
122,-15,738,-4345,-1395,1763,-2730,-8041,-4903,1800,-2091,-4897,-984,-7572,3456,-4417,backwards
122,-15,738,-4345,-1395,1763,-2730,-8041,-4903,1800,-2091,-4897,-984,-7572,3456,-4417,backwards
110,4,-4337,6817,-6970,4882,3964,-3649,2798,5789,-5418,7221,1958,-812,-7338,-2008,backwards
110,4,-4337,6817,-6970,4882,3964,-3649,2798,5789,-5418,7221,1958,-812,-7338,-2008,backwards
-71,139,4381,7668,-8108,-6731,8112,-6015,-632,1510,-1255,-7896,-490,3183,2587,-7409,backwards
-71,139,4381,7668,-8108,-6731,8112,-6015,-632,1510,-1255,-7896,-490,3183,2587,-7409,backwards
122,86,1316,-996,-4448,-5156,-1918,-1584,-3799,-3956,-441,-408,6036,-1316,1884,-2866,backwards
122,86,1316,-996,-4448,-5156,-1918,-1584,-3799,-3956,-441,-408,6036,-1316,1884,-2866,backwards
102,-40,4675,1770,-5799,4052,-4635,-3483,7039,4396,230,-1955,5622,-726,-4778,-4040,backwards
102,-40,4675,1770,-5799,4052,-4635,-3483,7039,4396,230,-1955,5622,-726,-4778,-4040,backwards
-39,24,6470,6367,7568,-423,-703,-4962,-933,6848,-6345,427,2553,-5899,-1568,2913,backwards
