Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
-23,135,6512,384,5881,5832,-2140,-312,-5212,-652,-7979,4689,5533,-1895,5426,-223,forward
-23,135,6512,384,5881,5832,-2140,-312,-5212,-652,-7979,4689,5533,-1895,5426,-223,forward
-91,13,-659,-7685,-4295,2523,4876,6438,-105,2858,5659,-7271,-1538,3836,-6648,2548,forward
-91,13,-659,-7685,-4295,2523,4876,6438,-105,2858,5659,-7271,-1538,3836,-6648,2548,forward
22,122,2746,-6606,-2830,-7982,-7324,1253,-3843,3313,7339,-6435,183,-8017,3328,763,forward
22,122,2746,-6606,-2830,-7982,-7324,1253,-3843,3313,7339,-6435,183,-8017,3328,763,forward
39,106,4527,895,-3536,-6398,-2186,-4045,2919,536,1825,-5557,2877,-5201,3891,-3530,forward
39,106,4527,895,-3536,-6398,-2186,-4045,2919,536,1825,-5557,2877,-5201,3891,-3530,forward
-72,144,485,-7712,-6477,7102,3387,772,2614,-7595,-7143,-2445,5995,-228,-2582,-3944,forward
-28,-94,5027,-8043,-4448,4712,-2828,3018,947,-3366,-3437,2260,-3755,4895,3179,-3885,forward
-28,-94,5027,-8043,-4448,4712,-2828,3018,947,-3366,-3437,2260,-3755,4895,3179,-3885,forward
122,60,-2695,7101,7247,2514,1620,-7318,3057,6859,-5224,7692,3814,5320,6917,728,forward
122,60,-2695,7101,7247,2514,1620,-7318,3057,6859,-5224,7692,3814,5320,6917,728,forward
83,-36,-7570,-67,-5109,-6486,-1289,3229,29,4686,4309,5999,3045,2716,4153,4478,forward
83,-36,-7570,-67,-5109,-6486,-1289,3229,29,4686,4309,5999,3045,2716,4153,4478,forward
-23,-32,6257,2410,5554,-7691,-5696,5884,283,-121,-5683,-5069,5555,5026,5946,72,forward
-23,-32,6257,2410,5554,-7691,-5696,5884,283,-121,-5683,-5069,5555,5026,5946,72,forward
91,13,-449,2294,-2795,5806,4487,3263,-7692,-1643,-3600,-7389,-8004,1095,5973,-6428,forward
91,13,-449,2294,-2795,5806,4487,3263,-7692,-1643,-3600,-7389,-8004,1095,5973,-6428,forward
-69,88,6604,4991,-7055,-6039,1345,6077,-2132,-7877,3617,2027,3287,-1335,-7862,-5302,forward
