Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
47,68,-6419,-4094,-4401,885,4479,-1270,-3881,-7312,-4588,5801,-4107,-7398,-1586,4452,forward
47,68,-6419,-4094,-4401,885,4479,-1270,-3881,-7312,-4588,5801,-4107,-7398,-1586,4452,forward
91,-101,-3054,3923,-5881,274,5063,-4976,2964,-796,5001,2026,-4514,5722,-6897,6061,forward
91,-101,-3054,3923,-5881,274,5063,-4976,2964,-796,5001,2026,-4514,5722,-6897,6061,forward
-96,-68,-5730,-7892,64,-1553,1299,-1211,-4307,-1063,-8096,-7188,-4866,-5155,-138,-537,forward
-96,-68,-5730,-7892,64,-1553,1299,-1211,-4307,-1063,-8096,-7188,-4866,-5155,-138,-537,forward
-52,19,-5511,-4857,6824,-1192,-5510,5115,3460,5881,-3431,6352,-1096,857,6393,-5470,forward
-52,19,-5511,-4857,6824,-1192,-5510,5115,3460,5881,-3431,6352,-1096,857,6393,-5470,forward
67,146,-2297,-5435,4771,4793,2717,-4225,699,-874,905,5271,3633,4255,-2517,-234,forward
117,13,5859,-4837,6640,-2927,-1224,-5795,-3691,-3727,2549,-6977,7569,6012,4077,3907,forward
117,13,5859,-4837,6640,-2927,-1224,-5795,-3691,-3727,2549,-6977,7569,6012,4077,3907,forward
99,-66,7785,6323,-5590,3495,-3947,-5659,2487,4091,-5296,1583,2759,6439,7188,-4499,forward
99,-66,7785,6323,-5590,3495,-3947,-5659,2487,4091,-5296,1583,2759,6439,7188,-4499,forward
101,62,-2251,5256,-2451,-515,-3129,651,4316,-3381,2826,5575,6603,7072,-7110,-7221,forward
101,62,-2251,5256,-2451,-515,-3129,651,4316,-3381,2826,5575,6603,7072,-7110,-7221,forward
-56,-71,4234,7774,1348,220,-5837,-2973,-6917,-6119,5977,306,3935,5345,-4192,37,forward
-56,-71,4234,7774,1348,220,-5837,-2973,-6917,-6119,5977,306,3935,5345,-4192,37,forward
69,-32,1903,-6830,6603,-8110,6377,3813,-4084,2317,-4630,3572,-6078,5039,5464,7318,forward
