Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
64,102,-2998,-1885,4434,1385,-1063,3229,-927,2708,4345,1229,6257,2413,6257,-2436,backwards
64,102,-2998,-1885,4434,1385,-1063,3229,-927,2708,4345,1229,6257,2413,6257,-2436,backwards
-70,109,2568,6574,-6041,-2516,-5519,-3871,7347,7368,-1768,-7044,7311,-1912,-5058,4894,backwards
-70,109,2568,6574,-6041,-2516,-5519,-3871,7347,7368,-1768,-7044,7311,-1912,-5058,4894,backwards
-61,52,-6292,5772,2350,-2103,6398,334,-2914,3404,5093,2155,-8071,-3017,1199,-107,backwards
-61,52,-6292,5772,2350,-2103,6398,334,-2914,3404,5093,2155,-8071,-3017,1199,-107,backwards
130,141,7170,7864,-7244,7564,-1966,7540,4776,2845,756,-6571,4044,-5253,6971,-1601,backwards
130,141,7170,7864,-7244,7564,-1966,7540,4776,2845,756,-6571,4044,-5253,6971,-1601,backwards
-87,98,-2123,5256,1965,2974,5416,3716,-426,-5035,-4350,-8007,2017,-3572,-4227,4148,backwards
-83,-88,6572,5432,-7013,-7438,7390,127,-3061,3602,4116,5709,-6969,-7986,-3065,5193,backwards
-83,-88,6572,5432,-7013,-7438,7390,127,-3061,3602,4116,5709,-6969,-7986,-3065,5193,backwards
-54,-97,3879,-489,2712,-7423,6649,-2237,7883,1041,3366,4664,4468,-4955,921,-1592,backwards
-54,-97,3879,-489,2712,-7423,6649,-2237,7883,1041,3366,4664,4468,-4955,921,-1592,backwards
-7,-28,-2487,5085,198,3934,1177,-5884,1250,-5238,-6063,-4529,1862,307,-3666,-5959,backwards
-7,-28,-2487,5085,198,3934,1177,-5884,1250,-5238,-6063,-4529,1862,307,-3666,-5959,backwards
14,-91,38,8132,-4743,7360,1197,7735,-3415,274,2111,176,-3647,-7511,-4703,-7809,backwards
14,-91,38,8132,-4743,7360,1197,7735,-3415,274,2111,176,-3647,-7511,-4703,-7809,backwards
-87,138,3829,-6720,-7660,6113,-3232,-4375,7536,4854,-655,7275,2901,-3680,-7152,-4801,backwards
-87,138,3829,-6720,-7660,6113,-3232,-4375,7536,4854,-655,7275,2901,-3680,-7152,-4801,backwards
94,-50,7611,-142,-2999,-3039,6304,7833,-667,-6761,4860,-1793,-4827,-5731,-7672,-666,backwards
