Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
-30,-22,-642,2829,5202,-1302,1885,-4925,-2804,3723,-3876,1870,-193,224,-3642,-1014,forward
-30,-22,-642,2829,5202,-1302,1885,-4925,-2804,3723,-3876,1870,-193,224,-3642,-1014,forward
46,-83,7696,-8127,-7324,-237,2928,6233,5782,-7235,6728,7504,-5413,5876,-4552,7353,forward
46,-83,7696,-8127,-7324,-237,2928,6233,5782,-7235,6728,7504,-5413,5876,-4552,7353,forward
147,-75,5197,5756,-1225,-3536,4350,4406,7264,-6541,4921,-261,-4731,10,-6896,3419,forward
147,-75,5197,5756,-1225,-3536,4350,4406,7264,-6541,4921,-261,-4731,10,-6896,3419,forward
123,112,1435,1595,1295,-2404,-760,6963,-6582,4435,-8120,-3489,2106,5051,3639,8053,forward
123,112,1435,1595,1295,-2404,-760,6963,-6582,4435,-8120,-3489,2106,5051,3639,8053,forward
90,117,-5110,6719,-4499,6177,114,-7154,-3033,-445,2028,-3276,4958,7842,4185,-6156,forward
90,117,-5110,6719,-4499,6177,114,-7154,-3033,-445,2028,-3276,4958,7842,4185,-6156,forward
-59,-69,-6558,1678,-5146,154,5922,5041,38,3129,5353,-1116,4638,-7810,903,1673,forward
-59,-69,-6558,1678,-5146,154,5922,5041,38,3129,5353,-1116,4638,-7810,903,1673,forward
137,87,2632,6391,4341,8003,-1106,722,-537,2518,2097,-2036,2732,-3951,-3423,2230,forward
143,-75,-7180,5913,5434,-1654,-2456,-1628,-2679,-8176,-3955,-3427,7844,5894,-6577,6059,forward
143,-75,-7180,5913,5434,-1654,-2456,-1628,-2679,-8176,-3955,-3427,7844,5894,-6577,6059,forward
61,71,-7213,7824,-3540,-2383,4984,2477,-6034,-4410,-1089,-2775,-2465,-3010,-8035,2252,forward
61,71,-7213,7824,-3540,-2383,4984,2477,-6034,-4410,-1089,-2775,-2465,-3010,-8035,2252,forward
-60,74,-7383,-704,5510,-3774,-6503,5491,-6435,-2314,-6921,-5770,-1792,4270,-7152,4856,forward
-60,74,-7383,-704,5510,-3774,-6503,5491,-6435,-2314,-6921,-5770,-1792,4270,-7152,4856,forward
25,-91,-592,-6059,-2164,-8099,-4031,6724,-1611,479,-2896,-1955,6036,5270,-2529,-507,forward
25,-91,-592,-6059,-2164,-8099,-4031,6724,-1611,479,-2896,-1955,6036,5270,-2529,-507,forward
-26,-17,5042,-4794,7786,6385,3854,-7050,-7870,-4758,4241,-2065,4943,-2642,-4774,7147,forward
-26,-17,5042,-4794,7786,6385,3854,-7050,-7870,-4758,4241,-2065,4943,-2642,-4774,7147,forward
36,140,-1333,455,-5130,4955,6273,-666,3535,1662,-3634,-6623,7122,-7705,-7771,720,forward
36,140,-1333,455,-5130,4955,6273,-666,3535,1662,-3634,-6623,7122,-7705,-7771,720,forward
-104,-25,-5025,-2759,-785,-7008,6785,5810,-6301,1162,-2145,1452,-6422,-4194,-7118,7975,forward
-104,-25,-5025,-2759,-785,-7008,6785,5810,-6301,1162,-2145,1452,-6422,-4194,-7118,7975,forward
53,49,-6590,-4617,-6015,1619,-1479,-1300,1894,-6472,4460,-5555,-1418,8027,-3710,-5424,forward
