Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
19,134,-2585,905,2509,-7159,-5960,4384,-5857,-668,4949,7939,-2386,3006,3922,4149,forward
19,134,-2585,905,2509,-7159,-5960,4384,-5857,-668,4949,7939,-2386,3006,3922,4149,forward
71,119,7998,-3172,4728,-6331,3580,-4616,7348,3489,-2578,-7304,3367,-6032,-3641,-1651,forward
71,119,7998,-3172,4728,-6331,3580,-4616,7348,3489,-2578,-7304,3367,-6032,-3641,-1651,forward
-91,-99,5037,-6834,-3584,-6501,-60,656,1347,7342,-913,-46,-4079,7470,-5388,-2679,forward
-91,-99,5037,-6834,-3584,-6501,-60,656,1347,7342,-913,-46,-4079,7470,-5388,-2679,forward
-92,-3,6885,3372,-7411,-3222,-3326,-7562,-2661,1700,-644,-5291,4501,-6522,-2031,5876,forward
-92,-3,6885,3372,-7411,-3222,-3326,-7562,-2661,1700,-644,-5291,4501,-6522,-2031,5876,forward
90,-39,7959,-2942,3199,-7723,1226,-644,686,3299,5733,3467,6639,-6008,-363,6574,forward
90,-39,7959,-2942,3199,-7723,1226,-644,686,3299,5733,3467,6639,-6008,-363,6574,forward
138,131,-690,-2931,-925,5849,2179,563,-4223,4358,2798,-312,760,7794,6964,-5261,forward
-31,-70,-5800,5592,6255,-4414,-4050,-134,4787,-306,-4830,-7091,-3457,4701,5166,2925,forward
-31,-70,-5800,5592,6255,-4414,-4050,-134,4787,-306,-4830,-7091,-3457,4701,5166,2925,forward
-57,36,-2230,-6155,-4197,-7770,3703,3597,-4745,7449,-7796,7699,4721,5450,2250,-6850,forward
-57,36,-2230,-6155,-4197,-7770,3703,3597,-4745,7449,-7796,7699,4721,5450,2250,-6850,forward
-70,19,2115,1053,-2020,4491,2886,7657,-5979,5073,10,-1640,100,8167,-7468,5479,forward
-70,19,2115,1053,-2020,4491,2886,7657,-5979,5073,10,-1640,100,8167,-7468,5479,forward
94,145,7506,-4078,-7918,-6642,6310,-6406,1236,7766,5934,-6768,-2809,5502,-3713,1605,forward
94,145,7506,-4078,-7918,-6642,6310,-6406,1236,7766,5934,-6768,-2809,5502,-3713,1605,forward
-68,-29,3290,2509,-4505,452,2649,7772,-4287,-2660,-66,-7870,6602,-274,-2055,-5055,forward
-68,-29,3290,2509,-4505,452,2649,7772,-4287,-2660,-66,-7870,6602,-274,-2055,-5055,forward
97,13,-95,6701,6568,-7142,-782,6969,-5549,-6785,7642,5679,2472,-62,-4087,-6629,forward
