Y,X,F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,02,01,AF3,state
109,-99,-7876,-496,-1147,-2299,1345,-5309,-5804,7530,4014,-2400,3044,4382,-2865,-2203,backwards
109,-99,-7876,-496,-1147,-2299,1345,-5309,-5804,7530,4014,-2400,3044,4382,-2865,-2203,backwards
7,117,-5300,4680,6242,8141,3594,2820,-5381,-7625,-7444,-36,-6085,3372,380,7621,backwards
7,117,-5300,4680,6242,8141,3594,2820,-5381,-7625,-7444,-36,-6085,3372,380,7621,backwards
44,59,4975,-2493,-386,6441,4687,-1934,6545,2790,6284,-125,-1913,-1316,-484,-4146,backwards
44,59,4975,-2493,-386,6441,4687,-1934,6545,2790,6284,-125,-1913,-1316,-484,-4146,backwards
-54,94,7882,-2440,1396,-5644,5119,2032,-6910,-793,-6294,6499,6020,577,-547,-1557,backwards
-54,94,7882,-2440,1396,-5644,5119,2032,-6910,-793,-6294,6499,6020,577,-547,-1557,backwards
-68,98,-4671,-7719,5195,-3870,6461,7623,7225,-5200,-7557,3255,-4512,2342,319,-696,backwards
-68,98,-4671,-7719,5195,-3870,6461,7623,7225,-5200,-7557,3255,-4512,2342,319,-696,backwards
101,106,-1148,-1336,-2913,5911,-7491,5786,1091,6160,-2594,-2276,4529,-231,-1884,-3067,backwards
101,106,-1148,-1336,-2913,5911,-7491,5786,1091,6160,-2594,-2276,4529,-231,-1884,-3067,backwards
109,53,923,-2144,1610,4826,-1856,-544,-1525,-7290,-6447,-1789,3716,7596,5323,5329,backwards
8,40,2747,-93,5849,6002,6991,4347,6839,-4841,582,6442,-6773,6468,905,-2789,backwards
8,40,2747,-93,5849,6002,6991,4347,6839,-4841,582,6442,-6773,6468,905,-2789,backwards
116,120,8043,-85,-1455,-2542,-4043,4317,6816,7936,4722,-4917,5744,5677,-1996,4704,backwards
116,120,8043,-85,-1455,-2542,-4043,4317,6816,7936,4722,-4917,5744,5677,-1996,4704,backwards
-81,60,-4900,7793,1725,-1768,-6877,-212,6576,4147,-4535,5527,-2215,-3992,7168,2930,backwards
-81,60,-4900,7793,1725,-1768,-6877,-212,6576,4147,-4535,5527,-2215,-3992,7168,2930,backwards
126,-82,5780,-4675,7959,991,-5256,8015,-6962,3881,2547,2812,2424,-4062,1008,7235,backwards
126,-82,5780,-4675,7959,991,-5256,8015,-6962,3881,2547,2812,2424,-4062,1008,7235,backwards
107,16,-564,6196,-4307,-6432,-6131,-7229,8115,2436,-7229,-2214,-1720,-43,7495,-7413,backwards
107,16,-564,6196,-4307,-6432,-6131,-7229,8115,2436,-7229,-2214,-1720,-43,7495,-7413,backwards
78,-31,1544,-8058,-3409,5624,197,-5057,-2508,4441,2806,2622,-795,-590,2839,7228,backwards
78,-31,1544,-8058,-3409,5624,197,-5057,-2508,4441,2806,2622,-795,-590,2839,7228,backwards
92,-70,-5976,4448,4263,6138,-2784,6171,1380,1313,-7109,5222,-2215,2379,-2452,1211,backwards
